year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
1.0,0.14991639029876208,0.07605020013210562,1.0,0.0,1.0,0.0,0.33333333333333337,0.2929530201342282,0.4148936170212766,0.25
0.8,0.0661643105252411,0.22710322921902423,1.0,0.0,1.0,0.0,0.29059829059829057,0.2929530201342282,0.41134751773049644,0.25
1.0,0.1080403504120016,0.06131331924557696,1.0,0.0,0.0,0.0,0.3632478632478632,0.19228187919463088,0.29432624113475175,0.25
1.0,0.13232828604216312,0.0857870678607049,0.3333333333333333,0.0,1.0,0.0,0.6111111111111112,0.2093959731543624,0.3120567375886525,0.25
1.0,0.060301664941094645,0.027102702901849744,1.0,0.0,1.0,0.0,0.5940170940170939,0.12550335570469798,0.23758865248226949,0.25
1.0,0.24623128203831118,0.20262948060389632,0.3333333333333333,0.0,1.0,0.0,0.10683760683760679,0.7912751677852348,0.5957446808510638,0.5
0.8,0.11222795440067765,0.26052436980097315,0.3333333333333333,0.0,1.0,0.0,0.12393162393162394,0.6275167785234899,0.3546099290780142,0.5
1.0,0.2378560740609591,0.07315545567225178,0.3333333333333333,0.0,0.0,0.5,0.20512820512820518,0.5097315436241611,0.425531914893617,0.25
1.0,0.0661643105252411,0.1310503448693286,0.3333333333333333,0.0,1.0,0.0,0.6282051282051282,0.2932885906040268,0.3475177304964539,0.25
0.8,0.177554576624024,0.397366835175882,0.3333333333333333,0.0,1.0,0.0,0.1495726495726496,0.6218120805369127,0.6205673758865248,0.5
1.0,0.09547753844597345,0.14394511564504114,0.3333333333333333,0.0,1.0,0.0,0.6837606837606838,0.2932885906040268,0.3475177304964539,0.25
1.0,0.13735357833273393,0.16841886426016908,1.0,0.0,1.0,0.0,0.45299145299145305,0.2812080536912751,0.3652482269503546,0.25
1.0,0.0829147264799453,0.16578727838757468,0.3333333333333333,0.0,1.0,0.0,0.7393162393162394,0.2932885906040268,0.3475177304964539,0.25
1.0,0.2713569059703675,0.3360508843444325,0.3333333333333333,0.0,0.0,0.5,0.05555555555555558,0.7151006711409396,0.6063829787234042,0.5
1.0,0.15410399428743812,0.26052436980097315,0.3333333333333333,0.0,1.0,0.0,0.12393162393162394,0.6275167785234899,0.3546099290780142,0.5
0.8,0.2881073219250717,0.08920812949507761,0.3333333333333333,0.0,0.0,0.5,0.32478632478632485,0.45100671140939597,0.6170212765957447,0.25
1.0,0.26130665639754497,0.06578701522898744,1.0,0.0,0.0,0.0,0.1794871794871794,0.39395973154362407,0.48936170212765956,0.25
0.8,0.27805690484808965,0.13157666204384746,0.3333333333333333,0.0,0.0,0.0,0.3632478632478632,0.45100671140939597,0.6631205673758865,0.25
0.8,0.23366847007228306,0.15526093489719708,0.3333333333333333,0.0,0.0,0.0,0.20512820512820518,0.5097315436241611,0.6028368794326241,0.25
0.8,0.0393636449977144,0.3157876731254556,0.3333333333333333,0.5,1.0,0.0,0.47435897435897445,0.2093959731543624,0.3120567375886525,0.25
0.8,0.02680083303168626,0.2894718143995116,1.0,0.5,1.0,1.0,0.44017094017094016,0.19228187919463088,0.2765957446808511,0.25
0.8,0.0661643105252411,0.1578925207697915,0.3333333333333333,0.5,1.0,0.0,0.4786324786324786,0.25906040268456376,0.3120567375886525,0.25
1.0,0.10050266323238471,0.38684049168550444,0.3333333333333333,0.5,1.0,0.5,0.7051282051282051,0.2093959731543624,0.2624113475177305,0.25
1.0,0.09547753844597345,0.06578701522898744,1.0,0.5,1.0,1.0,0.34615384615384615,0.19194630872483223,0.3049645390070922,0.25
1.0,0.10385274642332556,0.07894494459195946,1.0,0.5,1.0,0.0,0.4871794871794871,0.19228187919463088,0.29432624113475175,0.25
1.0,0.08542728887315093,0.10526080331790347,0.3333333333333333,0.5,1.0,0.0,0.5128205128205128,0.2932885906040268,0.3829787234042553,0.25
1.0,0.10050266323238471,0.3552614612143716,0.3333333333333333,0.5,1.0,0.0,0.6452991452991454,0.2932885906040268,0.3475177304964539,0.25
1.0,0.07001690619482309,0.07894494459195946,1.0,0.5,0.0,0.0,0.4487179487179487,0.12550335570469798,0.23758865248226949,0.25
1.0,0.07872712249126926,0.2105242382216795,0.3333333333333333,0.5,1.0,0.0,0.49572649572649574,0.2932885906040268,0.3829787234042553,0.25
1.0,0.11976564158029454,0.1842083794957355,0.3333333333333333,0.5,1.0,0.0,0.6111111111111112,0.2093959731543624,0.3120567375886525,0.25
1.0,0.16666680625346628,0.025918489259182262,0.3333333333333333,0.5,0.0,0.0,0.6111111111111112,0.2093959731543624,0.3120567375886525,0.25
0.8,0.034338520211303146,0.1578925207697915,1.0,0.5,1.0,0.5,0.44017094017094016,0.19228187919463088,0.2765957446808511,0.25
1.0,0.10050266323238471,0.1842083794957355,0.3333333333333333,0.5,1.0,0.0,0.6495726495726495,0.2093959731543624,0.2624113475177305,0.25
1.0,0.2797321139477196,0.2052610664764907,0.3333333333333333,0.5,1.0,0.5,0.10683760683760679,0.7912751677852348,0.5957446808510638,0.5
0.8,0.07035191451391717,0.3157876731254556,0.3333333333333333,0.5,1.0,0.5,0.5512820512820512,0.2093959731543624,0.2624113475177305,0.25
0.8,0.07035191451391717,0.3157876731254556,1.0,0.5,1.0,0.5,0.2564102564102564,0.2513422818791946,0.32978723404255317,0.5
0.6000000000000001,0.003350250695100386,0.1842083794957355,0.3333333333333333,0.5,1.0,0.0,0.3803418803418802,0.2093959731543624,0.2624113475177305,0.25
0.8,0.07035191451391717,0.4473669667551756,0.3333333333333333,0.5,1.0,0.0,0.4487179487179487,0.3268456375838926,0.3652482269503546,0.25
